type,signals,wins,losses,expired,unique_tickers,win_rate,avg_pct,median_pct,avg_days,ev,avg_win,avg_loss,tp,sl,max_hold,rsi7_th,intra_th,ret_field,ret_th,down_th,rsi14_th,price_max,ret5d_th,vol_mult,ret1d_th,gap_th,bb_width_max,bb_pos_th,dist_high_th,rsi14_min,up_days_min
PENNY_CRASH,223,89,123,11,156,39.9,3.42,-20.0,6.0,3.42,36.67,-18.66,0.4,-0.2,30,,30.0,,,,20.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,1170,550,564,56,520,47.0,3.42,-7.42,6.5,3.42,28.41,-18.74,0.3,-0.2,30,,15.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,1968,936,932,100,812,47.6,3.41,-5.87,7.4,3.41,27.76,-18.67,0.3,-0.2,30,,15.0,,,,25.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,1530,629,818,83,838,41.1,3.41,-20.0,7.8,3.41,35.05,-18.68,0.4,-0.2,30,,30.0,,,,30.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,2987,1233,1569,185,1168,41.3,3.39,-20.0,8.9,3.39,34.62,-18.57,0.4,-0.2,30,,20.0,,,,30.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,560,227,299,34,355,40.5,3.38,-20.0,6.8,3.38,35.4,-18.44,0.4,-0.2,30,,30.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,3830,1623,1947,260,1368,42.4,3.37,-20.0,10.2,3.37,33.07,-18.47,0.4,-0.2,30,,15.0,,,,25.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,1269,515,690,64,711,40.6,3.36,-20.0,6.9,3.36,35.7,-18.74,0.4,-0.2,30,,30.0,,,,30.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,456,215,222,19,268,47.1,3.36,-6.14,6.6,3.36,28.27,-18.87,0.3,-0.2,30,,20.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1580,665,805,110,723,42.1,3.34,-20.0,9.9,3.34,33.42,-18.52,0.4,-0.2,30,,15.0,,,,20.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,822,332,441,49,384,40.4,3.33,-20.0,7.7,3.33,35.8,-18.67,0.4,-0.2,30,,15.0,,,,20.0,10.0,-40.0,,,,,,,,
