ticker,date,year,month,day_of_week,quarter,surge_open,surge_high,surge_low,surge_close,surge_volume,prev_close,daily_return_pct,open_gap_pct,price_before_surge,is_penny_stock,is_micro_price,is_sub_10,price_bucket,intraday_range_pct,avg_vol_5d,avg_vol_10d,avg_vol_20d,surge_vol_vs_5d,surge_vol_vs_20d,is_low_vol_before,is_very_low_vol,vol_trend_5d,ret_1d_before,ret_3d_before,ret_5d_before,ret_10d_before,ret_20d_before,ret_40d_before,ret_60d_before,max_drawdown_5d,volatility_5d,volatility_10d,volatility_20d,atr_14,atr_pct_of_price,avg_intraday_range_20d,rsi_7,rsi_14,rsi_7_oversold,rsi_14_oversold,bb_width,bb_position,below_lower_bb,bb_squeeze,macd,macd_signal,macd_histogram,stoch_k,stoch_d,williams_r,mfi_14,cci_20,adx_14,obv_5d_slope,obv_20d_slope,dist_from_sma5_pct,dist_from_sma10_pct,dist_from_sma20_pct,dist_from_sma50_pct,below_all_sma,dist_from_20d_high_pct,dist_from_20d_low_pct,dist_from_period_high_pct,dist_from_period_low_pct,consecutive_down_days,consecutive_up_days,prev_day_gap_down,green_candle_ratio_5d,gap_up_on_surge,next_1d_return,next_3d_return,next_5d_return,next_5d_max_drawdown,next_5d_max_gain
JANX,2024-02-27,2024,2,1,1,35.79,52.0,34.25,49.75,15491600,15.1,229.47,137.02,15.1,0,0,0,$10-20,51.82,618100,361990,218355,25.06,70.95,0,0,183.07,-3.76,3.35,51.61,75.38,58.61,29.06,59.28,-36.52,13.2,12.08,9.08,1.6146,10.69,13.34,81.16,75.04,0,0,95.46,1.0181,0.0,0.0,1.17,0.3801,0.79,71.61,77.82,-28.39,70.09,199.49,27.62,1023.5,1132.15,10.22,33.62,49.45,48.32,0,-16.06,93.84,-16.06,93.84,1,0,0,0.8,137.02,-6.34,-4.18,-13.09,-18.79,17.98
JSPR,2023-01-03,2023,1,1,1,15.0,38.0,14.7,27.4,6369840,4.83,467.29,210.56,4.83,1,0,1,$1-5,158.5,28486,18601,12525,223.61,508.57,1,1,127.43,5.0,-18.14,-12.82,-14.81,-20.82,-33.84,-45.73,-22.03,14.56,11.08,8.84,0.8779,18.18,15.53,38.43,39.21,0,0,40.32,0.1356,0.0,0.0,-0.3466,-0.298,-0.0486,32.66,42.09,-67.34,30.86,-122.98,29.97,-92.82,-166.25,-9.55,-8.54,-14.69,-23.97,1,-29.28,25.13,-49.16,25.13,0,1,0,0.8,210.56,-21.9,-45.99,-39.78,-50.0,-5.84
KOSS,2021-01-27,2021,1,2,1,17.52,69.79,14.19,58.0,25073500,10.0,480.0,75.2,10.0,0,0,0,$10-20,391.83,8772360,4475270,3139175,2.86,7.99,0,0,179.45,66.67,199.4,191.55,208.64,316.67,354.55,383.09,-66.6,41.87,31.9,24.85,1.0771,10.77,21.35,93.68,89.67,0,0,175.6,1.4655,0.0,0.0,0.8746,0.366,0.5085,64.8,66.65,-35.2,99.61,547.24,57.69,258.79,6625.16,90.04,136.69,169.54,245.76,0,-28.06,329.18,-28.06,392.61,0,2,0,0.4,75.2,-27.66,-39.66,-55.88,-69.81,119.74
MIRA,2024-07-22,2024,7,0,3,1.31,5.01,1.3,5.01,158147600,0.689,627.14,90.13,0.689,1,1,1,<$1,285.38,6616960,3323860,1679495,23.9,94.16,0,0,293.99,-12.34,-15.98,-6.89,25.73,-3.91,-24.78,-20.8,-15.98,14.48,10.44,7.96,0.1111,16.12,13.05,49.14,49.26,0,0,52.53,0.5785,0.0,0.0,0.0026,-0.02,0.0226,38.25,54.49,-61.75,94.9,25.64,31.19,4.76,2876.63,-10.4,3.1,4.13,-6.07,0,-29.55,35.1,-41.61,35.1,2,0,0,0.4,90.13,-48.9,-39.32,-54.29,-56.09,-17.76
MSLE,2022-03-24,2022,3,3,1,7.584,7.584,7.584,7.584,58,0.264,2772.73,2772.73,0.264,1,1,1,<$1,0.0,10,65,34,5.8,1.67,1,1,-71.14,-96.25,-96.25,-96.65,-96.33,-96.75,-96.33,-97.37,-96.65,42.1,30.65,21.7,0.6137,232.47,0.19,3.54,7.52,1,1,93.02,-0.535,1.0,0.0,-0.6127,-0.1511,-0.4616,0.0,0.0,-100.0,96.26,-654.7,85.37,-9.67,1211.9,-95.61,-96.11,-96.28,-96.4,1,-96.75,0.0,-97.37,4.76,1,0,1,0.0,2772.73,0.0,0.0,0.0,0.0,0.0
MSLE,2022-04-22,2022,4,4,2,10.068,10.8,10.068,10.8,350,0.3,3500.0,3256.0,0.3,1,1,1,<$1,7.27,8,16,11,41.67,31.11,1,1,-25.33,-96.89,-96.89,-96.89,-96.04,-96.04,-96.31,-95.83,-96.89,43.33,32.75,621.24,0.8237,274.57,1.45,9.42,21.68,1,1,103.97,-0.426,1.0,0.0,-0.0789,0.3745,-0.4534,0.0,66.67,-100.0,98.88,-413.26,30.19,-5.04,11.71,-96.15,-96.48,-96.27,-96.04,1,-96.89,0.0,-96.89,19.05,1,0,1,0.0,3256.0,0.33,-97.22,-11.11,-97.22,0.33
MSLE,2022-04-28,2022,4,3,2,9.6,9.6,9.6,9.6,75,0.3,3100.0,3100.0,0.3,1,1,1,<$1,0.0,83,41,27,0.9,2.77,1,1,207.75,0.0,-97.23,0.0,-96.89,-96.04,-95.83,-96.33,-97.23,1587.66,1114.34,785.19,2.3289,776.29,1.81,33.49,37.24,0,0,175.79,-0.0465,1.0,0.0,-0.8484,-0.0037,-0.8447,0.0,33.33,-100.0,99.7,-221.32,26.58,49.52,68.85,-93.34,-95.76,-96.08,-95.97,1,-97.23,0.0,-97.23,13.64,0,0,0,0.2,3100.0,0.0,12.5,12.5,0.0,12.5
MSLE,2022-05-19,2022,5,3,2,6.36,7.8,6.36,7.8,333,0.36,2066.67,1666.67,0.36,1,1,1,<$1,22.64,15,7,55,22.2,6.01,1,1,-72.95,20.0,20.0,-96.67,-96.67,20.0,36.36,-95.57,-97.22,46.53,32.07,1022.85,0.84,233.33,108.19,18.23,32.95,1,0,258.33,0.1314,0.0,0.0,-1.1473,0.0034,-1.1507,0.57,0.19,-99.43,98.22,-116.03,18.61,-0.55,148.77,-92.02,-95.3,-95.22,-95.34,1,-96.68,20.0,-96.68,36.36,0,1,0,0.0,1666.67,0.0,0.0,0.0,0.0,0.0
MSLE,2022-09-09,2022,9,4,3,3.42,3.42,3.42,3.42,833,0.36,850.0,850.0,0.36,1,1,1,<$1,0.0,6,3,83,126.21,9.95,1,1,-92.11,0.0,0.0,0.0,-92.31,-93.18,-88.72,-95.38,0.0,41.28,29.19,20.75,0.3094,85.95,0.0,4.75,19.1,1,1,215.53,0.081,0.0,0.0,-1.5071,-1.0089,-0.4982,0.0,0.0,-100.0,99.45,-133.33,38.78,0.0,271.05,0.0,-85.71,-90.31,-93.02,0,-93.18,0.0,-97.0,0.0,0,0,0,0.0,850.0,1.75,1.75,-6.32,-6.32,1.75
NYC,2023-01-12,2023,1,3,1,12.804,15.661,12.804,15.66,27400,1.71,815.79,648.77,1.71,1,0,1,$1-5,22.31,139440,109420,90300,0.2,0.3,1,0,54.42,1.79,4.27,-10.0,-13.2,-7.07,-37.59,-48.65,-13.68,5.39,6.01,6.32,0.1804,10.55,10.32,38.0,37.91,0,0,33.33,0.1957,0.0,0.0,-0.1434,-0.1378,-0.0056,16.25,11.21,-83.75,38.62,-115.65,23.59,1.87,33.95,-0.81,-5.94,-10.14,-25.63,1,-31.6,8.23,-51.97,8.23,0,2,0,0.2,648.77,-9.96,-11.24,-7.34,-12.84,0.26
